"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"lx - number of people left alive at age x"," 50-54 years","80890.35639","80958.98005","80801.40195","77588.39288","76337.74593","78962.98604","75757.11474","75424.34994","76105.67561","72851.07609","73116.04038","72552.0398","69232.5177","69217.90039","69249.23638"
"lx - number of people left alive at age x"," 55-59 years","75378.86127","75708.58947","75017.91277","72368.95783","71329.2439","73512.231","70200.95868","69976.06673","70437.48783","66769.64949","67035.08892","66472.04682","62870.72353","62792.39938","62946.5781"
"lx - number of people left alive at age x"," 60-64 years","67914.97212","68578.799","67214.87063","65405.98279","64670.89959","66224.35082","62911.46897","62816.95148","63015.20153","58951.43116","59174.36791","58699.18257","54853.23198","54661.85383","55046.04549"
"lx - number of people left alive at age x"," 65-69 years","58238.40414","58993.48564","57458.24641","56404.12688","55796.98679","57082.9642","53618.7329","53423.97466","53809.14407","49303.1948","49253.37447","49328.21141","45202.21588","44694.96937","45710.1469"
"lx - number of people left alive at age x"," 70-74 years","46723.69489","47407.84903","46026.98079","45668.08625","45090.78587","46293.2287","42806.53615","42416.35505","43183.01273","38471.28068","38034.60627","38877.05173","34649.14911","33741.68225","35548.06468"
"lx - number of people left alive at age x"," 75-79 years","33706.63491","34474.02391","32988.42557","33494.45564","33188.57896","33844.52115","30823.53164","30508.39863","31125.96343","26882.86795","26374.45369","27356.86952","23645.75792","22712.83579","24582.07177"
"lx - number of people left alive at age x"," 80-84 years","20768.95039","21670.45649","19977.0704","21204.82178","21334.34527","21151.69817","19069.36796","19026.75081","19124.62683","16021.00145","15712.62762","16308.54057","13695.48996","13043.10516","14347.39177"
"lx - number of people left alive at age x"," 85+ years","9970.389384","10721.43953","9364.781601","10588.71059","10932.94916","10347.09011","9222.513412","9306.829927","9161.699745","7402.582887","7242.187065","7550.872731","6122.525688","5740.641696","6496.715361"
"ndx - number of people dying between ages x and x+n"," &lt;1 year","4625.475049","4954.58017","4278.338784","5443.378094","5778.177667","5086.703489","6445.015589","6878.376328","5992.37195","7774.191521","8179.720143","7340.825466","9104.218399","9655.970495","8524.870739"
"ndx - number of people dying between ages x and x+n"," 1-4 years","1364.840223","1382.343655","1346.242607","1731.467834","1742.01135","1720.376439","2370.902142","2359.769809","2382.531494","3065.763255","3007.619313","3127.731548","3864.62248","3790.384227","3942.684285"
"ndx - number of people dying between ages x and x+n"," 5-9 years","216.6215711","219.3818749","213.7028358","309.6814298","311.5462857","307.7332861","523.8019407","521.3429925","526.3708001","515.5141378","505.842648","525.7753482","540.5727474","530.3852827","551.378108"
"ndx - number of people dying between ages x and x+n"," 10-14 years","173.1835637","180.4358679","165.5447825","229.9877846","237.4595294","222.0790867","374.2002244","381.7325254","366.2068489","327.3080946","334.6892495","319.4602644","320.8429548","327.3386398","313.6422046"
"ndx - number of people dying between ages x and x+n"," 15-19  years","617.2210349","677.2806859","553.2094151","1017.153266","1249.301628","770.5298201","844.3454039","956.2466341","723.8930864","848.3334613","923.3073861","766.7116402","1013.148582","1124.893833","888.0237543"
"ndx - number of people dying between ages x and x+n"," 20-24 years","930.2961754","1021.059629","833.2406184","1542.583455","2003.273069","1035.082617","1276.112956","1440.323841","1096.63017","1269.929072","1312.01421","1222.932865","1545.136689","1682.424644","1389.927001"
"ndx - number of people dying between ages x and x+n"," 25-29 years","1137.528506","1159.714368","1113.002069","1546.329077","1807.088358","1247.202021","1466.410829","1512.761214","1416.513211","1521.76855","1431.108212","1625.068329","1729.145502","1644.559691","1821.676384"
"ndx - number of people dying between ages x and x+n"," 30-34 years","1401.655736","1375.020186","1430.942451","1736.238603","1893.70328","1558.057153","1738.278327","1735.319026","1740.956421","1793.654601","1649.240048","1955.635575","1988.012471","1837.668473","2150.342923"
"ndx - number of people dying between ages x and x+n"," 35-39 years","1935.901596","1798.539191","2085.753162","2198.706118","2233.526521","2156.959361","2196.306881","2061.063274","2343.398229","2355.110447","2123.093047","2609.137918","2547.371384","2299.565928","2814.240455"
"ndx - number of people dying between ages x and x+n"," 40-44 years","2794.142996","2616.657482","2989.95264","2863.08026","2786.685179","2947.868788","2991.811801","2856.546454","3136.963578","3268.788526","3104.099744","3446.063088","3472.908854","3311.660302","3645.033529"
"ndx - number of people dying between ages x and x+n"," 45-49 years","3912.777154","3656.006839","4188.668684","3793.0012","3619.481206","3984.421897","4015.69917","3872.167962","4168.488606","4408.562243","4313.225616","4508.618161","4641.502234","4577.248097","4708.944233"
"ndx - number of people dying between ages x and x+n"," 50-54 years","5511.495126","5250.390577","5783.489177","5219.435045","5008.502029","5450.755041","5556.15606","5448.283209","5668.18778","6081.426602","6080.95146","6079.99298","6361.79417","6425.501004","6302.658286"
"ndx - number of people dying between ages x and x+n"," 55-59 years","7463.889146","7129.790474","7803.042142","6962.975039","6658.344305","7287.880178","7289.489701","7159.115251","7422.286294","7818.218329","7860.721011","7772.864246","8017.491556","8130.545554","7900.532608"
"ndx - number of people dying between ages x and x+n"," 60-64 years","9676.567986","9585.313359","9756.624217","9001.855914","8873.912802","9141.386622","9292.73607","9392.976824","9206.057459","9648.236356","9920.993444","9370.971163","9651.016098","9966.884459","9335.898592"
"ndx - number of people dying between ages x and x+n"," 65-69 years","11514.70925","11585.63661","11431.26563","10736.04063","10706.20092","10789.7355","10812.19676","11007.61961","10626.13135","10831.91413","11218.7682","10451.15968","10553.06677","10953.28712","10162.08222"
"ndx - number of people dying between ages x and x+n"," 70-74 years","13017.05997","12933.82512","13038.55522","12173.63061","11902.20691","12448.70755","11983.00451","11907.95642","12057.04929","11588.41273","11660.15258","11520.18221","11003.39119","11028.84646","10965.9929"
"ndx - number of people dying between ages x and x+n"," 75-79 years","12937.68453","12803.56742","13011.35516","12289.63386","11854.23369","12692.82298","11754.16368","11481.64782","12001.3366","10861.8665","10661.82607","11048.32895","9950.267968","9669.730624","10234.68"
"ndx - number of people dying between ages x and x+n"," 80-84 years","10798.561","10949.01696","10612.2888","10616.11119","10401.39611","10804.60806","9846.854549","9719.920884","9962.927083","8618.41856","8470.440556","8757.667841","7572.964268","7302.463468","7850.676412"
"ndx - number of people dying between ages x and x+n"," 85+ years","9970.389384","10721.43953","9364.781601","10588.71059","10932.94916","10347.09011","9222.513412","9306.829927","9161.699745","7402.582887","7242.187065","7550.872731","6122.525688","5740.641696","6496.715361"
"nLx - person-years lived between ages x and x+n"," &lt;1 year","96762.16747","96531.79388","97005.16285","96189.63533","95955.27563","96439.30756","95488.48909","95185.13657","95805.33964","94558.06594","94274.1959","94861.42217","93627.04712","93240.82065","94032.59048"
"nLx - person-years lived between ages x and x+n"," 1-4 years","378222.4833","376864.0545","379655.6626","374070.9648","372706.4621","375524.2826","368529.7725","366823.0471","370312.4366","361545.4021","360062.8331","363130.1424","354308.0325","352279.1959","356438.0748"
"nLx - person-years lived between ages x and x+n"," 5-9 years","469506.8697","467766.9262","471342.836","463351.5668","461620.1892","465195.2671","454610.9065","452505.9118","456809.5558","444511.4408","442798.6961","446342.7766","433804.3637","431442.2632","436283.7796"
"nLx - person-years lived between ages x and x+n"," 10-14 years","468532.3569","466767.3818","470394.7169","462002.3937","460247.6747","463870.7362","452365.9011","450248.223","454578.1117","442404.3852","440697.3664","444229.6875","431650.8245","429297.9534","434121.2288"
"nLx - person-years lived between ages x and x+n"," 15-19  years","466556.3454","464623.0904","468597.8314","458884.5411","456530.7718","461389.2139","449319.537","446903.2751","451852.8618","439465.2813","437552.3748","441514.2578","428315.8456","425667.3722","431117.0639"
"nLx - person-years lived between ages x and x+n"," 20-24 years","462687.5524","460377.2397","465131.7063","452485.1993","448399.335","456875.1829","444018.3911","440911.849","447301.5537","434169.625","431964.0708","436540.1465","421920.1325","418649.076","425422.187"
"nLx - person-years lived between ages x and x+n"," 25-29 years","457517.9906","454925.3047","460266.0996","444762.918","438873.4315","451169.4713","437162.0816","433529.1363","441018.6952","427190.3809","425106.2647","429420.1435","413734.427","410331.6152","417393.1786"
"nLx - person-years lived between ages x and x+n"," 30-34 years","451170.03","448588.4683","453906.2383","436556.4988","429621.4524","444156.3233","429150.3588","425408.9357","433125.0211","418901.823","417405.3941","420468.3838","404441.5321","401626.0448","407463.1303"
"nLx - person-years lived between ages x and x+n"," 35-39 years","442826.1367","440654.5698","445114.4993","426719.137","419303.3779","434868.782","419313.8957","415917.98","422914.1345","408529.9104","407974.5613","409056.45","393103.0724","391282.9587","395051.6719"
"nLx - person-years lived between ages x and x+n"," 40-44 years","431001.0252","429616.5782","432425.2348","414064.671","406752.8486","422106.7117","406343.599","403623.9556","409213.23","394470.163","394906.5794","393918.4475","378052.3718","377254.8932","378903.4869"
"nLx - person-years lived between ages x and x+n"," 45-49 years","414233.7249","413934.9174","414478.6815","397424.4674","390737.4327","404775.985","388824.8216","386802.1696","390949.5995","375276.7861","376363.266","374031.7444","357766.3441","357532.6222","358018.5425"
"nLx - person-years lived between ages x and x+n"," 50-54 years","390673.0442","391668.9238","389548.2868","374893.3768","369167.4746","381188.0426","364895.1835","363501.0417","366357.9086","349051.814","350377.8233","347560.2165","330258.1031","330025.7494","330489.5362"
"nLx - person-years lived between ages x and x+n"," 55-59 years","358234.5835","360718.4712","355581.9585","344437.3516","340000.3587","349341.4546","332781.0691","331982.5455","333631.7234","314302.7016","315523.6421","312928.0735","294309.8888","293635.633","294981.559"
"nLx - person-years lived between ages x and x+n"," 60-64 years","315383.4407","318930.7116","311682.7926","304525.2742","301169.716","308268.2876","291325.5047","290602.3153","292060.864","270636.5649","271069.3559","270068.4849","250138.6196","248392.058","251890.481"
"nLx - person-years lived between ages x and x+n"," 65-69 years","262405.2476","266003.3367","258713.068","255180.5328","252219.4317","258440.4823","241063.1726","239600.8243","242480.392","219436.1887","218219.9518","220513.1578","199628.4125","196091.6291","203145.5289"
"nLx - person-years lived between ages x and x+n"," 70-74 years","201075.8245","204704.6824","197538.5159","197906.3547","195698.4121","200344.3746","184075.1695","182311.8842","185772.4404","163385.3716","161022.6499","165584.8031","145737.2676","141136.2951","150325.3411"
"nLx - person-years lived between ages x and x+n"," 75-79 years","136188.9632","140361.201","132413.7399","136748.1935","136307.3106","137490.5483","124732.249","123837.8736","125626.4757","107259.6735","105217.7033","109163.5252","93353.1197","89389.85238","97323.65887"
"nLx - person-years lived between ages x and x+n"," 80-84 years","76848.34943","80979.74003","73354.63001","79483.83091","80668.23609","78746.97069","70729.70343","70833.95184","70715.81643","58558.96083","57387.03671","59648.53326","49545.03911","46959.36715","52110.26784"
"nLx - person-years lived between ages x and x+n"," 85+ years","41163.98943","44691.85549","38399.44733","45742.05674","47678.67554","44392.40567","39324.80856","39506.43824","39193.25746","30943.12032","29871.88687","31873.22895","25254.60523","23213.27552","27214.63162"
